Organization,,Name,,,Twitter Handle,,,Notes,,Criteria:,,
PBS,,Daniel Bush,,,@DanielBush,,,,,Major News Network,,
PBS,,Pamela Kirkland,,,@PamelaKirkland,,,,,"(ABC, CBS, CNN, Fox News",,
PBS,,Matt Loffman,,,@mattloff,,,,,"MSNBC, NBC, PBS)",,
PBS,,Julie Percha,,,@juliepercha,,,,,,,
PBS,,Beth Summers,,,N/A,,,,,Journalists active during ,,
PBS,,Rachel Wellford,,,@rachelwellford,,,,,campaign.,,
ABC,,Matthew Claiborne,,,@MattJClaiborne,,,,,,,
ABC,,Ines de la Cuetara,,,@InesdLC,,,,,Journalists publically listed,,
ABC,,Adam Desiderio,,,@adamdesiderio,,,,,on organization site at time.,,
ABC,,Katherine Faulders,,,@KFaulders,,,,,,,
ABC,,Ben Gittleson,,,@bgittleson,,,,,Prediction is based on public,,
ABC,,Josh Haskell,,,@abc7JoshHaskell,,,,,claim of victory before,,
ABC,,Jessica Hopper,,,@jesshopp,,,,,outcome.,,
ABC,,Liz Kreutz,,,@LizKreutz,,,,,,,
ABC,,Brad Mielke,,,@TheBradMielke,,,,,Journalist must hold a political,,
ABC,,MaryAlice Parks,,,@maryaliceparks,,,,,role in the organization.,,
ABC,,Jordyn Phelps,,,@JordynPhelps,,,,,,,
ABC,,John Santucci,,,@JTSantucci,,,,,Journalists who deceased  are,,
ABC,,Candace Smith,,,N/A,,,,,not considered out of respect,,
ABC,,George,Stephanopoulos,,@GStephanopoulos,,,,,and lack of ability to respond.,,
ABC,,Donna Brazile,,,@donnabrazile,,,Former Democrat,,SEE: Gwen Ifill,,
ABC,,Diane Sawyer,,,@DianeSawyer,,,,,,,
CBS,,Steve Chaggaris,,,@stevechaggaris,,,,,Prediction is merely used for,,
CBS,,Jan Crawford,,,@JanCBS,,,,,"indication, and has no effect",,
CBS,,Bob Schieffer,,,@bobschieffer,,,,,on journalist weighting in end,,
CNN,,Jim Acosta,,,@Acosta,,,,,result.,,
CNN,,Jennifer Agiesta,,,@jennagiesta,,,,,,,
CNN,,Ted Barrett,,,@tedbarrettcnn,,,,,Reporters had to have political,,
CNN,,Dana Bash,,,@DanaBashCNN,,,,,resonsibility in their portfolio.,,
CNN,,Kate Bennett,,,@KateBennett_DC,,,,,,,
CNN,,Rebecca Berg,,,@rebeccagberg,,,,,If multiple accounts were,,
CNN,,Dan Berman,,,@DHBerman,,,,,"found, the public/press",,
CNN,,Kyle Blaine,,,@kyletblaine,,,,,account was used.,,
CNN,,Wolf Blitzer,,,@wolfblitzer,,,,,,,
CNN,,Gloria Borger,,,@GloriaBorger,,,,,MSNBC and NBC are mixed ,,
CNN,,Eric Bradner,,,@ericbradner,,,,,due to organization,,
CNN,,Brooke Brower,,,@brookebrower,,,,,interdependency and a lack of,,
CNN,,Steve Brusk,,,@stevebruskCNN,,,,,a sepearte list for each.,,
CNN,,David Chalain,,,@DavidChalian,,,,,,,
CNN,,Chris Cillizza,,,@CillizzaCNN,,,,,,,
CNN,,Marshall Cohen,,,@Marshall_Cohen,,,Data Scientist,,,,
CNN,,Zachary Cohen,,,@ZcohenCNN,,,,,,,
CNN,,Kaitlan Collins,,,@kaitlancollins,,,,,,,
CNN,,Stephen Collinson,,,@StCollinson,,,,,,,
CNN,,Anderson Cooper,,,@andersoncooper,,,,,,,
CNN,,Karl de Vries,,,@Karl_de_Vries,,,,,,,
CNN,,Daniella Diaz,,,@DaniellaMicaela,,,,,,,
CNN,,Janet DiGacomio,,,@CNNJanet,,,,,,,
CNN,,Sam Feist,,,@SamFeistCNN,,,,,,,
CNN,,Lauren Fox,,,@FoxReports,,,,,,,
CNN,,Scott Glover,,,@ScottGloverCNN,,,,,,,
CNN,,Aileen Graef,,,@AileenGraef,,,,,,,
CNN,,Noah Gray,,,@NoahGrayCNN,,,,,,,
CNN,,Miranda Green,,,@greenmiranda,,,,,,,
CNN,,Saba Hamedy,,,@saba_h,,,,,,,
CNN,,Jennifer Hansler,,,@jmhansler,,,,,,,
CNN,,Nia-Malika Henderson,,,@niaCNN,,,,,,,
CNN,,Dianna Heitz,,,@diannaheitz,,,,,,,
CNN,,Joe Johns,,,@joejohnscnn,,,,,,,
CNN,,Brianna Keilar,,,@brikeilarcnn,,,,,,,
CNN,,Caroline Kenny,,,@carolinerkenny,,,,,,,
CNN,,John King,,,@JohnKingCNN,,,,,,,
CNN,,Ashley Killough,,,@KilloughCNN,,,,,,,
CNN,,Aaron Kessler,,,@akesslerdc,,,,,,,
CNN,,Gregory Krieg,,,@GregJKrieg,,,,,,,
CNN,,Thomas Lake,,,@thomaslake,,,,,,,
CNN,,Elise Labott,,,@eliselabottcnn,,,,,,,
CNN,,MJ Lee,,,@mj_lee,,,,,,,
CNN,,Alysha Love,,,@News_with_Love,,,,,,,
CNN,,Virginia Mosely,,,N/A,,,,,,,
CNN,,Dan Merica,,,@danmericaCNN,,,,,,,
CNN,,David Wright,,,N/A,,,,,,,
CNN,,Brian Todd,,,@BrianToddCNN,,,,,,,
CNN,,Jake Tapper,,,@jaketapper,,,,,,,
MSNBC,,Peter Alexander,,,@PeterAlexander,,,,,,,
MSNBC,,Rehema Ellis,,,@rehemaellis,,,,,,,
MSNBC,,Kasie Hunt,,,@kasie,,,Most recent acct,,,,
MSNBC,,Hallie Jackson,,,@HallieJackson,,,,,,,
MSNBC,,Steve Kornacki,,,@SteveKornacki,,,,,,,
MSNBC,,Richard Lui,,,@RichardLui,,,,,,,
MSNBC,,Rachel Maddow,,,@maddow,,,,,,,
MSNBC,,Ari Melber,,,@AriMelber,,,,,,,
MSNBC,,Craig Melvin,,,@craigmelvin,,,,,,,
MSNBC,,Ayman Mohyeldin,,,@AymanM,,,,,,,
MSNBC,,Lawrence O'Donnell,,,@Lawrence,,,,,,,
MSNBC,,Milissa Rehberger,,,@mrehberger1,,,,,,,
MSNBC,,Joy Reid,,,@JoyAnnReid,,,,,,,
MSNBC,,Thomas Roberts,,,@ThomasARoberts,,,,,,,
MSNBC,,Stephanie Ruhle,,,@SRuhle,,,,,,,
MSNBC,,Ali Velshi,,,@AliVelshi,,,,,,,
MSNBC,,Kristen Welker,,,@kwelkernbc,,,,,,,
MSNBC,,Alex Witt,,,@AlexWitt,,,,,,,
Fox News,,Ari Fleischer,,,@AriFleischer,,,,,,,
Fox News,,Anna Kooiman,,,@annakooiman,,,,,,,
Fox News,,Geraldo Rivera,,,@GeraldoRivera,,,,,,,
Fox News,,Melissa Francis,,,@MelissaAFrancis,,,,,,,
Fox News,,Charles Krauthammer,,,@krauthammer,,,,,,,
Fox News,,John Roberts,,,@johnrobertsFox,,,,,,,
Fox News,,Dennis Kucinich,,,@Dennis_Kucinich,,,Former Rep Congr.,,,,
Fox News,,Karl Rove,,,@KarlRove,,,George Bush Assist.,,,,
Fox News,,Bret Baier,,,@BretBaier,,,,,,,
Fox News,,Lea Gabrielle,,,@LeaFOXNews,,,,,,,
Fox News,,Tomi Lahren,,,@TomiLahren,,,"Joined late, but was on assignment",,,,
Fox News,,Newt Gingrich,,,@newtgingrich,,,Former Rep. Spkr.,,,,
Fox News,,Peter Barnes,,,N/A,,,,,,,
Fox News,,Maria Baritomo,,,@MariaBartiromo,,,Debate Moderator,,,,
Fox News,,Eric Shawn,,,@EricShawnTV,,,,,,,
Fox News,,Lauren Blanchard,,,@LaurenBlanch12,,,,,,,
Fox News,,Lisa Boothe,,,@LisaMarieBoothe,,,,,,,
Fox News,,Leslie Marshall,,,@LeslieMarshall,,,,,,,
Fox News,,Shannon Bream,,,@ShannonBream,,,,,,,
Fox News,,Sean Hannity,,,@seanhannity,,,,,,,
Fox News,,Shepard Smith,,,@ShepNewsTeam,,,Not used by Smith,,,,
Fox News,,Angela McGlowan,,,@angelamcglowan,,,,,,,
Fox News,,Patrick Caddell,,,@patrick_caddell,,,,,,,
Fox News,,Chris Stirewalt,,,@ChrisStirewalt,,,,,,,
Fox News,,Doug Mckelway,,,@dougmckelway,,,,,,,
Fox News,,Rachel Campos-Duffy,,,@RCamposDuffy,,,,,,,
Fox News,,Tucker Carlson,,,@TuckerCarlson,,,,,,,
Fox News,,John Stossel,,,@JohnStossel,,,,,,,
Fox News,,Steve Hilton,,,@SteveHiltonx,,,"CEO, contrib",,,,
Fox News,,Brit Hume,,,@brithume,,,,,,,
Fox News,,Jason Chaffetz,,,@jasoninthehouse,,,Former Rep. Congr.,,,,
Fox News,,Kevin Corke,,,@kevincorke,,,,,,,
Fox News,,Monica Crowley,,,@MonicaCrowley,,,,,,,
Fox News,,Chris Wallace,,,N/A,,,Debate Moderator,,,,
Fox News,,Mike Emanuel,,,@MikeEmanuelFox,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
